concern,skin_type,ingredients,benefits,directions,brands,notes
keratosis pilaris,dry,"allantoin, green tea",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Naturium, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,oily,"cholesterol, colloidal oatmeal",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Naturium, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,normal,"retinol, bakuchiol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Babor, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,oily,"hyaluronic acid, panthenol",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Augustinus Bader, Avene",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,sensitive,"arbutin, vitamin C",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, LANEIGE, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,sensitive,"hyaluronic acid, ceramides",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Avene, Sisley Paris, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,normal,"ceramides, fatty acids",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Versed, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
body acne,normal,"tea tree oil, niacinamide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Simple, Murad",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,sensitive,"green tea, aloe vera",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, StriVectin, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,combination,"ceramides, cholesterol",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Obagi, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
large pores,normal,"fatty acids, cholesterol",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Simple, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
large pores,oily,"salicylic acid, tea tree oil",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, La Mer, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
body acne,sensitive,"salicylic acid, benzoyl peroxide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Augustinus Bader, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"green tea, calendula",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, StriVectin, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,sensitive,"niacinamide, azelaic acid",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, First Aid Beauty, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,sensitive,"green tea, allantoin",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Good Molecules, Cosrx, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,sensitive,"ceramides, squalane",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Vichy, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,sensitive,"azelaic acid, niacinamide",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, CeraVe, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,dry,"vitamin C, azelaic acid",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Vichy, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,sensitive,"peptides, retinol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, First Aid Beauty, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,dry,"licorice root, niacinamide",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Estee Lauder, Olay",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,normal,"fatty acids, lanolin",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Cetaphil, Babor",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,oily,"fatty acids, lanolin",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Peach & Lily, Versed",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"green tea, allantoin",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sisley Paris, Obagi, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,dry,"ceramides, squalane",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Obagi, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,dry,"tea tree oil, benzoyl peroxide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Minimalist, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,sensitive,"fatty acids, lanolin",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Murad, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,sensitive,"niacinamide, azelaic acid",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, StriVectin, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,sensitive,"colloidal oatmeal, ceramides",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Cosrx, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,combination,"lanolin, cholesterol",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Simple, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
skin dullness,dry,"vitamin C, AHA",Helps improve skin dullness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, The Ordinary, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,combination,"calendula, centella asiatica",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Simple, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
seborrheic dermatitis,sensitive,"lanolin, fatty acids",Helps improve seborrheic dermatitis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Augustinus Bader, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,dry,"vitamin C, kojic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Obagi, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
sun damage,normal,"azelaic acid, kojic acid",Helps improve sun damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Shiseido, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,normal,"centella asiatica, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Cetaphil, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
age spots,dry,"retinol, peptides",Helps improve age spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Augustinus Bader, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,normal,"colloidal oatmeal, cholesterol",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Cosrx, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
age spots,combination,"retinol, peptides",Helps improve age spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Versed, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"calendula, aloe vera",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Allies of Skin, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,oily,"glycerin, hyaluronic acid",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Babor, Simple",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,combination,"azelaic acid, salicylic acid",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Clinique, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
large pores,dry,"calendula, centella asiatica",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, LANEIGE, Babor",Avoid mixing strong actives; discontinue if irritation occurs
large pores,normal,"benzoyl peroxide, niacinamide",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, LANEIGE, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
